name,latitude,longitude,country,population,is_capital,is_rural
Feodosiya,45.0489,35.3792,UA,67993.0,False,False
Fort Wayne,41.0886,-85.1437,US,334122.0,False,False
Traralgon,-38.1958,146.54,AU,25485.0,False,False
Asau,-13.5196,-172.638,WS,,False,False
Acapulco De Juarez,16.8636,-99.8825,MX,687608.0,False,False
Rajapalaiyam,9.4204,77.58,IN,369991.0,False,False
Agadez,16.9959,7.9828,NE,117770.0,False,False
Ballina,-28.8333,153.533,AU,26381.0,False,False
Ketchikan,55.3556,-131.67,US,10652.0,False,True
East London,-33.0153,27.9116,ZA,338627.0,False,False
Moyale,3.527,39.056,KE,24837.0,False,False
Plover,44.4614,-89.5383,US,13099.0,False,True
Ontario,34.0393,-117.606,US,185010.0,False,False
Selkirk,50.1436,-96.8839,CA,10278.0,False,True
Monroe,32.5183,-92.0774,US,112891.0,False,False
Al Jawf,24.2167,23.3,LY,24132.0,False,False
Taksimo,56.3315,114.89,RU,10359.0,False,True
Tommot,58.9667,126.267,RU,6935.0,False,True
Villa De Cura,10.0386,-67.4894,VE,145098.0,False,False
Stonegate,39.5356,-104.803,US,9511.0,False,True
Toliara,-23.35,43.6667,MG,115319.0,False,False
Bandarbeyla,9.4833,50.8167,SO,13753.0,False,True
Karabanovo,56.3089,38.7014,RU,14786.0,False,True
Itoman,26.1236,127.666,JP,60546.0,False,False
Vila Velha,3.2167,-51.2167,BR,1209091.0,False,False
Huarmey,-10.0686,-78.1603,PE,16172.0,False,False
Imbituba,-28.2296,-48.66,BR,43450.0,False,False
Mahibadhoo,3.7571,72.9689,MV,,False,False
Sioux Center,43.0748,-96.1707,US,7174.0,False,True
Watertown Town,42.37,-71.1774,US,35939.0,False,False
Las Palmas,28.1272,-15.4314,ES,379925.0,False,False
Porto Novo,17.0208,-25.0667,CV,,False,False
Matola,-25.9667,32.4667,MZ,1032197.0,False,False
Hoa Binh,20.8172,105.338,VN,121309.0,False,False
Nuuk,64.175,-51.7333,GL,18326.0,False,False
Poronaysk,49.2167,143.1,RU,15311.0,False,False
Guerrero Negro,27.9589,-114.056,MX,14316.0,False,True
Sitka,57.2401,-135.315,US,6720.0,False,True
Lethem,3.3833,-59.8,GY,3000.0,False,True
Tulun,54.5667,100.567,RU,41640.0,False,False
Hotan,37.1012,79.9327,CN,322300.0,False,False
Las Palmas,28.1272,-15.4314,ES,379925.0,False,False
Labrador City,52.95,-66.9167,CA,7220.0,False,True
Smolensk,54.7828,32.0453,RU,329853.0,False,False
Floro,61.5986,5.0172,NO,8925.0,False,True
Zaraza,9.3394,-65.3167,VE,62027.0,False,False
Chonchi,-42.6238,-73.7725,CL,5632.0,False,True
Kununurra,-15.7736,128.739,AU,5308.0,False,True
Chui,-33.6908,-53.4569,BR,5917.0,False,True
San Julian,-49.3,-67.7167,AR,2347.0,False,True
Tchibanga,-2.9331,10.9831,GA,19365.0,False,False
Narvik,68.4363,17.3983,NO,14148.0,False,True
Pingliang,35.5412,106.682,CN,2190000.0,False,False
Taltal,-25.4,-70.47,CL,10018.0,False,True
Pyapon,16.2853,95.6786,MM,76741.0,False,False
Alamosa,37.4751,-105.877,US,10652.0,False,True
Riviere-Du-Loup,47.8333,-69.5333,CA,19447.0,False,False
Mumbwa,-14.9796,27.07,ZM,19086.0,False,False
Macau,22.203,113.545,MO,568700.0,False,False
Sudzha,51.1907,35.2708,RU,5759.0,False,True
Bayanhongor,46.1944,100.718,MN,26252.0,False,False
Pegnitz,49.7564,11.545,DE,13244.0,False,True
Colonia Del Sol,22.9125,-109.921,MX,64055.0,False,False
Altay,47.8666,88.1166,CN,142000.0,False,False
Vilyuchinsk,52.9333,158.4,RU,21973.0,False,False
Nampula,-15.1167,39.2667,MZ,477900.0,False,False
Sassandra,4.9504,-6.0833,CI,38411.0,False,False
Nelson Bay,-32.715,152.151,AU,11820.0,False,True
Manokwari,-0.8711,134.069,ID,74504.0,False,False
Rampur,28.8154,79.025,IN,296418.0,False,False
Pangkalpinang,-2.1,106.1,ID,125933.0,False,False
Kerikeri,-35.2244,173.951,NZ,6960.0,False,True
Fabens,31.5136,-106.152,US,5946.0,False,True
Seogwipo,33.2497,126.56,KR,153861.0,False,False
Cerklje Na Gorenjskem,46.2542,14.4886,SI,,False,False
Mont-Laurier,46.55,-75.5,CA,13779.0,False,True
Nar'yan-Mar,67.6378,53.0067,RU,24775.0,False,False
Benghazi,32.1167,20.0667,LY,631555.0,False,False
Caluula,11.967,50.75,SO,513.0,False,True
Nouadhibou,20.95,-17.0333,MR,118000.0,False,False
Tekeli,44.8333,78.8167,KZ,30707.0,False,False
City Of Paranaque,14.4667,121.017,PH,665822.0,False,False
Naifaru,5.4442,73.3662,MV,,False,False
Gaspe,48.8333,-64.4833,CA,15163.0,False,False
Balurghat,25.2167,88.7667,IN,153279.0,False,False
Ghanzi,-21.7,21.65,BW,6306.0,False,True
Karratha,-20.7364,116.846,AU,16708.0,False,False
Alice Springs,-23.7,133.867,AU,23726.0,False,False
Turinsk,58.0333,63.7,RU,17060.0,False,False
Cruz Alta,-28.6386,-53.6064,BR,62821.0,False,False
Tweed Heads,-28.1833,153.55,AU,8176.0,False,True
San Javier,-35.5924,-71.7353,CL,29017.0,False,False
Harstad,68.7989,16.5314,NO,21070.0,False,False
Camabatela,-8.1896,15.37,AO,12837.0,False,True
Puerto San Jose,13.9333,-90.8167,GT,23887.0,False,False
Howard Springs,-12.4922,131.053,AU,5132.0,False,True
Farafangana,-22.8166,47.8332,MG,24764.0,False,False
Jayapura,-2.5333,140.717,ID,413283.0,False,False
Kavieng,-2.5667,150.8,PG,19728.0,False,False
Christchurch,-43.5309,172.637,NZ,377200.0,False,False
Acarau,-2.8896,-40.12,BR,28389.0,False,False
Portland,45.5372,-122.65,US,2074775.0,False,False
Jumla,29.25,82.2167,NP,9073.0,False,True
Mount Isa,-20.7333,139.5,AU,18588.0,False,False
Brookings,44.3022,-96.7859,US,24887.0,False,False
Lubango,-14.9167,13.5,AO,,False,False
City Of Isabela,6.7,121.967,PH,112788.0,False,False
Barcelos,-0.9736,-62.9269,BR,12584.0,False,True
Palmerston North,-40.3549,175.609,NZ,80300.0,False,False
Myski,53.7,87.8167,RU,41379.0,False,False
Basco,20.4486,121.97,PH,,False,False
Olinda,-8.0,-34.85,BR,921840.0,False,False
Cobourg,43.9667,-78.1667,CA,19440.0,False,False
Nadi,-17.8,177.417,FJ,42284.0,False,False
Todos Santos,23.4486,-110.223,MX,6485.0,False,True
Morozovsk,48.35,41.8333,RU,25198.0,False,False
Ust'-Ilimsk,58.0,102.667,RU,81976.0,False,False
Camiri,-20.05,-63.52,BO,27961.0,False,False
Ghadamis,30.1333,9.5,LY,6623.0,False,True
Smithers,54.7819,-127.168,CA,5351.0,False,True
Freeport,40.6515,-73.585,US,42956.0,False,False
El Calafate,-50.3395,-72.2649,AR,21132.0,False,False
Box Elder,44.1121,-103.083,US,10228.0,False,True
Corner Brook,48.9287,-57.926,CA,19806.0,False,False
Ironwood,46.4522,-90.1505,US,6448.0,False,True
Darlowo,54.4167,16.4167,PL,13943.0,False,True
Ulaangom,49.9833,92.0667,MN,26319.0,False,False
Lake Havasu City,34.5006,-114.311,US,56820.0,False,False
Diapaga,12.077,1.796,BF,26013.0,False,False
Wamba,2.1404,27.99,CD,146871.0,False,False
Khorugh,37.4917,71.5575,TJ,28098.0,False,False
Mariehamn,60.0986,19.9444,FI,11461.0,False,True
Oneida,43.0769,-75.6621,US,20828.0,False,False
Kumagaya,36.1472,139.389,JP,194959.0,False,False
Pisco,-13.71,-76.2032,PE,109965.0,False,False
Labytnangi,66.65,66.4,RU,26281.0,False,False
`Ataq,14.55,46.8,YE,37315.0,False,False
Weno,7.4458,151.85,FM,,False,False
Achacachi,-16.0444,-68.685,BO,8857.0,False,True
San Jose Del Guaviare,2.5653,-72.6386,CO,68878.0,False,False
Ust'-Kut,56.8,105.833,RU,41689.0,False,False
Hikone,35.2744,136.26,JP,113818.0,False,False
Pombas,17.1503,-25.0201,CV,,False,False
Mariestad,58.705,13.828,SE,14891.0,False,True
Qarazhal,48.0253,70.7999,KZ,22170.0,False,False
Sargodha,32.0836,72.6711,PK,602631.0,False,False
Kerben,41.5,71.75,KG,14141.0,False,True
Ankang,32.6877,109.023,CN,1100000.0,False,False
Pulaski,37.0528,-80.7624,US,15407.0,False,False
Tefe,-3.3684,-64.7205,BR,51437.0,False,False
Taiynsha,53.8478,69.7639,KZ,12418.0,False,True
Trinidad,-14.8333,-64.9,BO,101454.0,False,False
Murzuq,25.9136,13.9336,LY,47324.0,False,False
Groningen,53.2204,6.58,NL,216688.0,False,False
