so2,aqi,dew,pm10,r,uvi,d,wd,co.v,h.v,no2.v,o3.v,p.v,pm25.v,t.v,w.v,wg.v,no2,wg,so2.v,co,o3,pm25,aqi.v,dew.v,pm10.v,h,p,t,w,r.v,uvi.v,d.v,wd.v,city
,,,,,,,,,73.0,,32.0,1014.5,,21.0,1.5,7.7,,,,,,,,16.0,,,,,,,,,,monroe
,,,,,,,,1.2,94.0,4.7,34.4,1006.0,46.0,24.0,4.1,18.3,,,1.5,,,,,23.0,16.0,,,,,,,,,itoman
,,,,,,,,2.42,93.0,1.74,25.56,,18.65,24.2,13.6,18.6,,,6.95,,,,,,27.52,,,,,,,,,vila velha
,,,,,,,,,59.5,,22.4,1006.0,37.0,11.0,5.9,12.6,,,,,,,,3.5,22.0,,,,,,,,,watertown
,,,,,,,,0.1,61.4,6.0,33.8,1009.2,30.0,19.3,7.2,,,,0.6,,,,,11.7,16.0,,,,,99.4,,,,las palmas
,,,,,,,,3.3,72.50845000000001,0.6,4.6,755.6695,25.0,-9.592575,5.0,,,,,,,,,-13.3,8.0,,,,,0.2,,,,poronaysk
,,,,,,,,8.2,43.0,6.9,46.8,858.8,119.0,21.6,3.0,,,,3.6,,,,,8.5,116.0,,,,,99.7,,,,hotan
,,,,,,,,0.1,61.4,6.0,33.8,1009.2,30.0,19.3,7.2,,,,0.6,,,,,11.7,16.0,,,,,99.4,,,,palmas
,,,,,,,,1.0,97.0,3.5,32.5,1008.3,18.0,10.0,0.4,1.6,,,0.6,,,,,,9.0,,,,,,,,,san julian
,,,,,,,,0.6,77.0,42.8,0.8,1012.0,132.0,18.0,3.0,11.3,,,14.0,,,,,14.0,143.0,,,,,,,,,sultangazi
,,,,,,,,2.8,23.0,4.6,,843.3,59.0,26.4,4.0,,,,4.1,,,,,3.6,39.0,,,,,99.2,,,,pingliang
,,,,,,,,0.2,64.0,,21.8,1030.0,9.0,-0.8,0.2,0.7,,,,,,,,,,,,,,,,,,riviere-du-loup
